chance,chance,211
change,changement,245
charge,charge,493
charity,charité,55
chaste,chaste,46
cheek,joue,243
cheer,acclamation,133
chide,gronder,59
chief,chef,223
child,enfant,392
choice,choix,72
church,église,100
cinna,cinna,40
citizen,citoyenne,268
civil,civil,68
claim,prétendre,187
clarence,clarté,211
claudio,Claudio,180
clear,clair,86
clifford,Clifford,140
close,proche,364
cloten,cailloter,111
clothes,vêtements,89
clouds,des nuages,59
clown,pitre,355
college,Université,227
colour,Couleur,168
comes,vient,635
comfort,confort,254
coming,venir,382
cominius,cominius,104
command,commander,291
commanded,commandé,0
commend,saluer,155
commercial,commercial,442
commission,commission,52
commit,commettre,86
common,commun,262
companion,un compagnon,55
company,entreprise,215
complete,Achevée,247
complexion,complexion,47
condition,état,89
conduct,conduite,53
confess,avouer,185
conscience,conscience,127
consent,consentement,112
consider,considérer,89
constable,gendarme,90
constant,constant,72
contempt,mépris,55
content,contenu,270
contrary,contraire,47
copies,copies,446
copyright,droits d'auteur,228
could,pourrait,654
council,conseil,58
counsel,Conseil,219
count,compter,821
counterfeit,contrefaire,0
countess,comtesse,0
country,pays,32
courage,courage,312
course,cours,260
court,tribunal,476
courtesy,courtoisie,0
cousin,cousin,287
coward,lâche,150
crave,demander,73
creature,créature,110
credit,crédit,73
cromwell,Cromwell,44
cross,traverser,126
crown,couronne,396
cruel,cruel,100
cunning,ruse,97
cupid,Cupidon,60
curse,malédiction,182
custom,Douane,72
dagger,dague,57
damned,damné,45
dance,Danse,105
danger,danger,0
darkness,obscurité,39
daughter,fille,500
deadly,mortel,51
dearest,très cher,56
dearly,chèrement,42
death,décès,931
deeds,actes,120
defend,défendre,85
degree,diplôme,65
delight,délice,86
deliver,livrer,200
demand,demande,162
denied,refusé,55
depart,partir,98
desert,désert,65
deserve,mériter,135
desire,le désir,310
despair,désespoir,62
desperate,désespéré,54
despite,malgré,59
device,dispositif,49
devil,diable,297
devise,concevoir,57
didst,didst,183
dinner,dîner,98
discourse,discours,68
discover,découvrir,78
disgrace,disgrâce,58
dishonour,déshonorer,70
dispatch,envoi,92
displeasure,mécontentement,43
disposition,disposition,51
distributed,distribué,443
divine,Divin,59
doctor,docteur,120
doing,Faire,86
dolabella,Dolabella,39
doors,des portes,62
double,double,130
doubt,doute,256
download,Télécharger,221
drawn,tiré,92
dread,crainte,121
dreadful,horrible,25
dream,rêver,211
dreams,rêves,0
drink,boisson,218
drops,gouttes,58
drown,noyer,110
drums,tambours,42
drunk,ivre,314
duncan,Duncan,40
durst,durst,51
dwell,habiter,73
dying,en train de mourir,54
early,de bonne heure,61
earth,Terre,380
edmund,Edmund,77
effect,effet,116
egypt,Egypte,66
either,Soit,358
elbow,coude,63
elder,aîné,50
embrace,embrasse,84
emilia,Émilie,153
emperor,empereur,112
empty,vide,437
encounter,rencontre,0
endure,supporter,84
enemies,ennemis,111
enemy,ennemi,278
enjoy,prendre plaisir,71
enobarbus,énobarbus,154
enough,assez,314
enter,entrer,2578
entertain,divertir,0
entertainment,divertissement,0
entreat,supplier,159
equal,égal,69
estate,biens,58
eternal,éternel,40
every,chaque,558
everything,tout,28
excellent,excellent,125
except,sauf,65
excuse,excuse,86
execution,exécution,69
exeter,Exeter,98
exeunt,sortir,1035
express,Express,70
faces,visages,57
faint,perdre connaissance,76
fairy,Fée,58
faith,Foi,464
falls,des chutes,82
false,faux,355
familiar,familier,47
fancy,fantaisie,68
farewell,adieu,458
farther,plus loin,43
fashion,mode,262
fatal,fatal,45
father,père,1157
fault,faute,280
favour,favoriser,203
fearful,craintif,99
fears,peurs,77
feast,le banquet,133
feeble,faible,43
fellow,compagnon,500
fenton,Fenton,46
ferdinand,Ferdinand,53
fetch,chercher,129
field,champ,265
fiend,démon,82
fierce,féroce,44
fiery,ardent,50
fight,bats toi,322
figure,figure,66
finds,trouve,42
finger,doigt,119
first,première,1175
flatter,flatter,137
flesh,la chair,142
flies,mouches,62
flight,vol,471
flood,inonder,59
flourish,fleurir,146
flower,fleur,261
flowers,fleurs,47
follow,suivre,562
folly,folie,80
foolish,insensé,103
fools,imbéciles,104
forbear,ancêtre,64
forbid,interdire,86
force,Obliger,276
forces,les forces,0
forest,forêt,98
forget,oublier,115
former,ancien,156
forth,en avant,454
fortune,fortune,485
forward,vers l'avant,103
fought,combattu,68
found,a trouvé,320
fourth,Quatrième,51
frame,Cadre,55
france,France,529
freely,librement,55
french,français,267
fresh,Frais,124
friend,ami,1459
frown,froncer les sourcils,88
fruit,fruit,70
further,plus loin,237
gallant,galant,72
garden,jardin,62
gates,portes,168
gaunt,décharné,78
general,général,236
gentle,doux,1237
ghost,fantôme,112
given,donné,205
giving,donnant,65
glass,verre,83
glorious,glorieux,43
glory,gloire,89
going,Aller,111
golden,d'or,92
goodness,la bonté,56
gower,gower,53
grace,la grâce,661
grant,subvention,152
grave,la tombe,244
great,génial,1147
green,vert,280
greet,saluer,248
grief,douleur,274
grieve,pleurer,71
gross,brut,588
ground,sol,1162
grown,grandi,68
guard,garde,213
guess,devine,55
guilty,coupable,71
habit,habitude,159
hands,mains,383
hanging,pendaison,63
hangs,bloque,37
happiness,bonheur,59
happy,heureux,328
haste,hâte,335
hateful,odieux,39
having,ayant,158
hazard,danger,47
heads,têtes,131
health,santé,120
heard,entendu,364
heart,cœur,1346
heaven,paradis,865
heavy,lourd,169
hector,Hector,224
heels,talons,85
hence,Par conséquent,583
henceforth,désormais,0
hereafter,"ci-après, par la suite",0
herself,se,26679
highness,altesse,189
holds,tient,222
hollow,creux,54
honest,honnête,406
horse,cheval,340
hostess,hôtesse,112
hours,heures,141
house,maison,663
hubert,Hubert,96
humble,humble,92
humour,humour,124
hundred,cent,460
husband,mari,562
ignorant,ignorant,48
image,image,74
includes,comprend,223
indeed,En effet,438
infinite,infini,44
innocent,innocent,56
instant,instant,85
intend,avoir l'intention,97
intent,intention,171
issue,problème,129
itself,lui-même,240
jealous,jaloux,96
jewel,bijou,99
judge,juge,121
judgment,jugement,133
julia,Julia,154
justice,Justice,265
keeps,garde,289
kindness,la gentillesse,79
kingdom,Royaume,127
kings,rois,150
knave,fripon,239
kneel,s'agenouiller,116
knees,les genoux,51
knife,couteau,56
knight,Chevalier,189
knock,frappe,143
knowing,connaissance,172
knowledge,connaissance,271
known,connu,233
knows,sait,220
labour,la main d'oeuvre,129
ladies,Dames,148
ladyship,Madame,45
lands,terres,70
large,grand,278
laugh,rire,257
launce,lancer,165
lawful,légitime,77
learn,apprendre,223
learned,appris,1
least,moins,102
leave,laisser,748
leisure,loisir,68
leontes,leontes,150
letter,lettre,384
liberty,liberté,73
library,bibliothèque,232
liege,Liege,145
lieutenant,lieutenant,81
light,lumière,469
limbs,membres,49
little,peu,1366
lives,vies,224
living,vivant,217
longer,plus long,112
looks,regards,223
loose,ample,126
lords,seigneurs,595
lordship,seigneurie,0
lorenzo,Lorenzo,81
lovely,charmant,53
lovers,les amoureux,61
loves,aime,238
loving,aimant,122
lucentio,Lucentio,131
machine,machine,224
madness,la démence,68
maiden,jeune fille,78
maids,servantes,48
maintain,maintenir,58
majesty,majesté,270
makes,fait du,360
making,fabrication,84
malice,malice,72
manner,manière,175
march,Mars,169
marcius,Marcius,143
marcus,Marcus,138
margaret,margaret,210
maria,maria,169
mariana,Mariana,48
marriage,mariage,122
marry,marier,377
master,Maître,991
match,rencontre,119
matter,matière,385
meaning,sens,401
means,veux dire,264
meant,signifiait,83
measure,mesure,110
meeting,réunion,56
memory,Mémoire,58
merchant,marchande,78
mercy,pitié,187
merit,mérite,214
merry,joyeux,170
messenger,Messager,334
midnight,minuit,43
might,pourrait,1333
mighty,puissant,11
milan,Milan,41
minds,esprits,56
minister,ministre,62
miranda,Miranda,65
mirth,gaieté,53
mischief,sottises,0
misery,misère,39
mistake,erreur,53
mistress,maîtresse,461
modest,modeste,100
money,argent,200
monster,monstre,96
month,mois,116
morning,Matin,134
morrow,demain,353
mortal,mortel,198
mother,mère,479
motion,mouvement,113
mouth,bouche,200
mowbray,mowbray,66
murder,meurtre,215
murther,aller plus loin,122
music,la musique,261
myself,moi même,567
naked,nu,1881
names,des noms,50
native,originaire de,45
natural,Naturel,105
nature,la nature,412
needs,Besoins,147
neighbour,voisine,94
neither,ni,8383
never,jamais,1023
niece,nièce,65
night,nuit,1027
noble,noble,734
noise,bruit,124
nothing,rien,673
nought,néant,58
number,nombre,103
nurse,infirmière,218
oaths,serments,87
obedience,obéissance,60
oberon,Oberon,45
object,objet,54
occasion,occasion,91
offence,infraction,121
offend,offenser,149
offer,offre,178
office,Bureau,351
often,souvent,140
oliver,oliver,58
opinion,opinion,97
order,ordre,145
orlando,orlando,164
other,autre,1633
others,autres,421
ourselves,nous-mêmes,188
outward,vers l'extérieur,57
oxford,Oxford,57
padua,Padoue,41
pains,des douleurs,92
painted,peint,53
painter,peintre,45
palace,palais,167
pandarus,Pandarus,188
paper,papier,122
pardon,pardon,327
paris,Paris,171
parolles,parolles,175
parted,séparé,49
particular,particulier,72
partly,partiellement,35
parts,les pièces,112
party,fête,51
passage,passage,44
passion,la passion,147
patience,la patience,208
patient,patient,130
paulina,paulina,86
peace,paix,556
pedro,pedro,155
people,gens,235
perceive,apercevoir,103
percy,Percy,87
perfect,parfait,114
perhaps,peut-être,45
peril,péril,65
permission,autorisation,225
person,la personne,453
personal,personnel,0
phebe,phebe,48
philip,Philippe,90
picture,image,126
piece,pièce,255
pistol,pistolet,188
place,endroit,525
plague,peste,112
plain,plaine,242
plead,plaider,63
please,S'il vous plaît,449
pleasure,plaisir,286
pluck,cueillir,163
poins,poins,103
point,point,256
poison,poison,128
policy,politique,45
polixenes,polixènes,84
pompey,pompey,211
porter,porter,772
possible,possible,98
posthumus,posthume,131
pound,livre,312
power,Puissance,382
practice,entraine toi,56
praise,louange,239
prayers,prières,85
precious,précieux,79
prepare,préparer,82
presence,présence,107
present,présent,443
pretty,jolie,117
pride,fierté,112
priest,prêtre,92
prince,prince,1126
prison,prison,260
private,privé,74
prize,prix,56
proceed,procéder,134
proclaim,proclamer,0
profit,profit,65
prohibited,interdit,221
project,projet,254
prologue,prologue,43
promise,promettre,160
proof,preuve,118
proper,correct,138
protector,protecteur,61
protest,manifestation,67
proud,fier,363
prove,prouver,371
provided,à condition de,259
public,Publique,71
purpose,objectif,261
purse,bourse,107
quality,qualité,55
quarrel,querelle,129
queen,reine,989
question,question,177
quick,rapide,328
quiet,silencieux,110
quite,assez,431
quoth,quoth,66
raise,élever,72
ransom,une rançon,66
rascal,coquin,90
rather,plutôt,323
readable,lisible,224
ready,prêt,238
realm,domaine,60
reason,raison,498
receive,recevoir,144
regard,qui concerne,277
reign,règne,328
reignier,règne,328
remain,rester,128
remedy,remède,59
remember,rappelles toi,200
render,rendre,351
repair,réparation,52
repent,se repentir,77
report,rapport,187
reputation,réputation,47
request,demande,247
respect,le respect,189
return,revenir,281
revenge,vengeance,242
reverence,révérence,44
revolt,révolte,64
right,droite,568
rivers,rivières,59
rogue,coquin,198
rotten,pourri,40
rough,rugueux,438
round,rond,162
royal,Royal,255
sacred,sacré,47
safety,sécurité,74
saint,Saint,149
salerio,salerio,48
satisfied,satisfait,54
saying,en disant,63
scarce,rare,172
scene,scène,807
scorn,mépris,201
search,chercher,190
season,saison,69
second,seconde,585
secret,secret,114
seeing,voyant,56
senate,sénat,42
senator,sénateur,150
sense,sens,401
sentence,phrase,79
servant,serviteur,593
serve,servir,328
service,un service,485
seven,Sept,94
several,nombreuses,106
shadow,ombre,324
shake,secouer,395
shall,doit,3874
shame,la honte,366
shape,forme,166
sharp,tranchant,90
shepherd,berger,145
shine,éclat,109
shore,rive,361
short,court,172
shortly,prochainement,0
should,devrait,1716
shows,montre,103
sickness,maladie,54
sight,vue,239
silence,silence,114
silver,argent,272
simple,Facile,129
since,depuis,462
single,Célibataire,64
sirrah,sirrah,148
sister,sœur,654
skill,compétence,62
slain,tué,127
slander,calomnie,92
slave,esclave,176
sleep,sommeil,378
slender,mince,119
small,petit,226
smell,odeur,69
smile,sourire,125
soldier,soldat,492
solemn,solennel,69
somerset,somerset,147
something,quelque chose,183
sometime,parfois,138
sooner,plus tôt,62
soothsayer,devin,98
sorrow,chagrin,244
sorry,Pardon,92
sought,recherché,40
souls,âmes,114
sound,du son,333
sovereign,souverain,0
spare,de rechange,68
speak,parler,1414
speaks,parle,1461
special,spécial,64
speech,discours,231
speed,la vitesse,287
spend,dépenser,80
spirit,esprit,463
spite,dépit,73
spoke,parlait,219
sport,sport,182
spring,printemps,91
staff,Personnel,532
stain,tache,117
stand,supporter,1028
stars,étoiles,71
state,Etat,347
steal,voler,130
steel,acier,78
steward,intendant,50
still,encore,1953
stomach,estomac,62
stone,calcul,237
stood,se tenait,107
store,boutique,72
storm,orage,86
story,récit,93
straight,tout droit,161
strange,étrange,296
street,rue,1130
strength,force,143
strike,la grève,205
stroke,accident vasculaire cérébral,64
strong,fort,1173
struck,frappé,84
study,étude,65
stuff,des trucs,70
subject,matière,557
substance,substance,43
success,Succès,88
sudden,soudain,129
suddenly,tout à coup,0
suffer,souffrir,162
suffolk,suffolk,259
summer,été,100
supper,souper,64
surely,sûrement,40
surrey,Surrey,51
suspect,suspect,53
swear,jurer,365
sweat,transpiration,53
sweet,sucré,925
swift,rapide,428
sword,épée,427
swore,juré,60
sworn,juré,257
syracuse,Syracuse,238
table,table,202
tailor,tailleur,58
taken,pris,1091
talbot,talbot,175
tarry,goudronneux,50
taste,goût,98
taught,enseigné,55
teach,enseigner,137
tears,larmes,294
tedious,fastidieux,51
teeth,les dents,57
tells,raconte,45
tempest,tempête,52
tender,soumissionner,176
terms,termes,75
thank,remercier,514
their,leur,3034
themselves,se,26082
there,Là,3036
therefore,par conséquent,0
therein,la bride,0
these,celles-ci,1394
thief,voleur,68
thing,chose,983
think,pense,1510
third,troisième,247
thomas,Thomas,75
those,ceux,547
though,bien que,1395
thought,pensée,0
thrive,prospérer,61
throat,gorge,100
throne,trône,75
through,par,5122
throw,jeter,213
thrust,poussée,66
thunder,tonnerre,90
times,fois,388
title,Titre,121
together,ensemble,282
tongue,langue,504
tonight,ce soir,0
touch,toucher,315
toward,vers,1258
tower,la tour,88
train,train,313
traitor,traitre,206
tread,bande de roulement,57
treason,trahison,0
treasure,Trésor,58
trial,procès,65
tribunes,tribunes,67
trick,tour,192
triumph,triomphe,79
trouble,difficulté,132
truly,vraiment,174
trumpet,trompette,212
trust,confiance,244
truth,vérité,349
turns,se tourne,55
twice,deux fois,72
tyrant,tyran,123
ulysses,Ulysse,114
uncle,oncle,256
under,sous,636
understand,comprendre,0
undertake,entreprendre,0
undone,défait,55
unhappy,malheureux,0
unknown,inconnue,0
unless,sauf si,155
until,jusqu'à,78
unworthy,indigne,37
utter,prononcer,122
valentine,Valentin,233
valiant,vaillant,163
valour,valeur,101
vantage,avantage,180
vengeance,vengeance,242
venice,venise,86
version,version,230
victory,la victoire,47
villain,scélérat,362
viola,alto,164
violent,violent,49
virtue,vertu,254
visit,visite,97
voice,voix,213
walls,des murs,85
warlike,guerrier,58
warrant,mandat,199
waste,déchets,75
watch,regarder,266
water,eau,1407
wealth,richesse,113
weapons,armes,339
weary,se lasser,87
weeds,mauvaises herbes,44
weeping,larmes,356
weight,poids,63
welcome,Bienvenue,372
wench,jeune fille,163
whence,d'où,0
where,où,1873
wherein,où,1873
whether,qu'il s'agisse,97
which,lequel,2323
while,tandis que,335
whither,où,1962
whole,entier,161
whore,putain,104
whose,dont,618
widow,veuve,142
willing,prêt,332
window,la fenêtre,69
wings,ailes,58
winter,hiver,90
wisdom,sagesse,105
witch,sorcière,139
withal,avec,153
within,dans,495
without,sans pour autant,368
witness,témoin,142
wives,épouses,65
wolsey,Wolsey,101
woman,femme,512
wonder,merveille,165
works,travaux,250
world,monde,927
worse,pire,233
worship,culte,134
worth,vaut,558
would,aurait,2456
wound,blessure,211
wounded,blessés,0
wrath,colère,502
wretch,misérable,153
write,écrire,162
written,écrit,35
wrong,faux,734
wrought,forgé,0
yield,rendement,199
yonder,là-bas,74
young,Jeune,528
yours,le tiens,536
yourself,toi même,0
youth,jeunesse,318
